[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nNeutral_quark}
40 51 9 10 4 0 100 6.030 10.915 
51 64 9 10 4 0 100 5.877 11.639 
64 80 9 10 4 0 100 5.625 12.492 
80 101 9 10 4 0 100 5.490 13.199 
101 127 9 10 4 0 100 5.228 14.067 
127 159 9 10 4 0 100 5.057 14.885 
159 200 9 10 4 0 100 4.800 15.668 
200 252 9 10 4 0 100 4.772 16.466 
252 317 9 10 4 0 100 4.711 17.302 
317 399 9 10 4 0 100 4.800 18.205 
399 502 9 10 4 0 100 4.938 18.765 
502 632 9 10 4 0 100 5.008 19.153 
632 795 9 10 4 0 100 5.110 19.240 
795 1000 9 10 4 0 100 5.446 18.881 
1000 3500 9 10 4 0 100 5.697 18.198 
20 26 10 11 4 0 100 6.093 8.709 
26 32 10 11 4 0 100 6.282 9.490 
32 40 10 11 4 0 100 6.155 10.237 
40 51 10 11 4 0 100 6.257 11.044 
51 64 10 11 4 0 100 5.866 11.943 
64 80 10 11 4 0 100 5.570 12.824 
80 101 10 11 4 0 100 5.652 13.534 
101 127 10 11 4 0 100 5.331 14.358 
127 159 10 11 4 0 100 5.133 15.107 
159 200 10 11 4 0 100 4.975 15.803 
200 252 10 11 4 0 100 4.884 16.748 
252 317 10 11 4 0 100 4.889 17.526 
317 399 10 11 4 0 100 4.850 18.413 
399 502 10 11 4 0 100 5.053 19.042 
502 632 10 11 4 0 100 5.403 19.548 
632 795 10 11 4 0 100 5.277 19.487 
795 1000 10 11 4 0 100 5.488 19.256 
1000 3500 10 11 4 0 100 5.952 18.155 
20 26 11 12 4 0 100 6.331 8.996 
26 32 11 12 4 0 100 6.365 9.864 
32 40 11 12 4 0 100 6.314 10.644 
40 51 11 12 4 0 100 6.316 11.362 
51 64 11 12 4 0 100 6.126 12.137 
64 80 11 12 4 0 100 5.970 13.035 
80 101 11 12 4 0 100 5.798 13.918 
101 127 11 12 4 0 100 5.375 14.615 
127 159 11 12 4 0 100 5.268 15.498 
159 200 11 12 4 0 100 5.114 16.147 
200 252 11 12 4 0 100 5.013 17.123 
252 317 11 12 4 0 100 4.834 17.830 
317 399 11 12 4 0 100 5.061 18.576 
399 502 11 12 4 0 100 5.165 19.286 
502 632 11 12 4 0 100 5.312 19.855 
632 795 11 12 4 0 100 5.322 19.911 
795 1000 11 12 4 0 100 5.857 19.321 
1000 3500 11 12 4 0 100 6.434 18.485 
20 26 12 13 4 0 100 6.130 9.358 
26 32 12 13 4 0 100 6.376 10.114 
32 40 12 13 4 0 100 6.235 10.809 
40 51 12 13 4 0 100 6.530 11.615 
51 64 12 13 4 0 100 6.322 12.509 
64 80 12 13 4 0 100 5.936 13.366 
80 101 12 13 4 0 100 5.815 14.115 
101 127 12 13 4 0 100 5.579 14.902 
127 159 12 13 4 0 100 5.139 15.693 
159 200 12 13 4 0 100 5.229 16.393 
200 252 12 13 4 0 100 5.081 17.325 
252 317 12 13 4 0 100 5.151 18.211 
317 399 12 13 4 0 100 5.238 18.919 
399 502 12 13 4 0 100 5.250 19.683 
502 632 12 13 4 0 100 5.511 19.965 
632 795 12 13 4 0 100 5.531 20.204 
795 1000 12 13 4 0 100 6.389 19.455 
1000 3500 12 13 4 0 100 6.427 18.916 
20 26 13 14 4 0 100 6.396 10.064 
26 32 13 14 4 0 100 6.621 10.076 
32 40 13 14 4 0 100 6.259 11.055 
40 51 13 14 4 0 100 6.700 12.005 
51 64 13 14 4 0 100 6.348 12.801 
64 80 13 14 4 0 100 5.884 13.670 
80 101 13 14 4 0 100 5.807 14.300 
101 127 13 14 4 0 100 5.689 14.992 
127 159 13 14 4 0 100 5.578 15.876 
159 200 13 14 4 0 100 5.365 16.968 
200 252 13 14 4 0 100 5.311 17.734 
252 317 13 14 4 0 100 5.238 18.541 
317 399 13 14 4 0 100 5.249 19.343 
399 502 13 14 4 0 100 5.393 20.047 
502 632 13 14 4 0 100 5.477 20.498 
632 795 13 14 4 0 100 5.719 100.569 
795 1000 13 14 4 0 100 5.912 19.922 
1000 3500 13 14 4 0 100 6.239 19.630 
20 26 14 15 4 0 100 7.031 10.310 
26 32 14 15 4 0 100 7.035 10.941 
32 40 14 15 4 0 100 6.923 11.547 
40 51 14 15 4 0 100 6.431 12.085 
51 64 14 15 4 0 100 6.269 13.262 
64 80 14 15 4 0 100 6.078 13.923 
80 101 14 15 4 0 100 5.736 14.685 
101 127 14 15 4 0 100 5.973 15.264 
127 159 14 15 4 0 100 5.510 16.319 
159 200 14 15 4 0 100 5.327 16.866 
200 252 14 15 4 0 100 5.606 18.031 
252 317 14 15 4 0 100 5.448 18.663 
317 399 14 15 4 0 100 5.439 19.512 
399 502 14 15 4 0 100 5.380 20.397 
502 632 14 15 4 0 100 5.717 20.806 
632 795 14 15 4 0 100 5.750 21.075 
795 1000 14 15 4 0 100 5.943 20.281 
1000 3500 14 15 4 0 100 8.556 18.408 
20 26 15 16 4 0 100 6.402 10.616 
26 32 15 16 4 0 100 5.807 11.226 
32 40 15 16 4 0 100 6.688 11.625 
40 51 15 16 4 0 100 5.966 12.735 
51 64 15 16 4 0 100 6.313 13.114 
64 80 15 16 4 0 100 6.789 14.050 
80 101 15 16 4 0 100 6.036 15.140 
101 127 15 16 4 0 100 5.946 15.998 
127 159 15 16 4 0 100 5.745 16.316 
159 200 15 16 4 0 100 5.354 17.353 
200 252 15 16 4 0 100 5.855 18.122 
252 317 15 16 4 0 100 5.348 19.229 
317 399 15 16 4 0 100 5.521 19.789 
399 502 15 16 4 0 100 5.631 20.139 
502 632 15 16 4 0 100 5.743 20.945 
632 795 15 16 4 0 100 6.389 20.905 
795 1000 15 16 4 0 100 6.355 20.522 
1000 3500 15 16 4 0 100 6.954 19.014 
20 26 16 17 4 0 100 4.613 10.913 
26 32 16 17 4 0 100 5.756 11.448 
32 40 16 17 4 0 100 5.987 11.992 
40 51 16 17 4 0 100 6.446 13.052 
51 64 16 17 4 0 100 7.288 13.881 
64 80 16 17 4 0 100 5.810 14.458 
80 101 16 17 4 0 100 5.805 15.440 
101 127 16 17 4 0 100 6.583 15.926 
127 159 16 17 4 0 100 5.616 16.576 
159 200 16 17 4 0 100 5.573 17.774 
200 252 16 17 4 0 100 5.588 17.872 
252 317 16 17 4 0 100 5.697 19.224 
317 399 16 17 4 0 100 5.358 20.429 
399 502 16 17 4 0 100 6.211 20.892 
502 632 16 17 4 0 100 5.504 20.984 
632 795 16 17 4 0 100 6.505 20.972 
795 1000 16 17 4 0 100 5.829 22.145 
1000 3500 16 17 4 0 100 7.140 19.464 
20 26 17 18 4 0 100 4.805 12.156 
26 32 17 18 4 0 100 5.237 13.293 
32 40 17 18 4 0 100 8.514 12.503 
40 51 17 18 4 0 100 7.289 13.069 
51 64 17 18 4 0 100 5.216 14.822 
64 80 17 18 4 0 100 6.010 13.939 
80 101 17 18 4 0 100 6.187 15.916 
101 127 17 18 4 0 100 6.153 16.107 
127 159 17 18 4 0 100 5.657 16.783 
159 200 17 18 4 0 100 5.301 18.176 
200 252 17 18 4 0 100 5.259 19.329 
252 317 17 18 4 0 100 5.737 19.451 
317 399 17 18 4 0 100 6.103 20.152 
399 502 17 18 4 0 100 5.669 20.769 
502 632 17 18 4 0 100 6.226 20.635 
632 795 17 18 4 0 100 5.992 21.365 
795 1000 17 18 4 0 100 6.205 21.698 
1000 3500 17 18 4 0 100 4.457 23.224 
20 26 18 19 4 0 100 4.354 12.858 
26 32 18 19 4 0 100 5.552 13.744 
32 40 18 19 4 0 100 4.862 14.643 
40 51 18 19 4 0 100 5.468 14.289 
51 64 18 19 4 0 100 7.776 14.169 
64 80 18 19 4 0 100 5.280 14.786 
80 101 18 19 4 0 100 6.555 15.765 
101 127 18 19 4 0 100 6.416 16.886 
127 159 18 19 4 0 100 6.389 17.650 
159 200 18 19 4 0 100 5.643 18.346 
200 252 18 19 4 0 100 5.295 19.711 
252 317 18 19 4 0 100 6.156 19.142 
317 399 18 19 4 0 100 5.446 21.340 
399 502 18 19 4 0 100 5.527 21.918 
502 632 18 19 4 0 100 5.257 23.691 
632 795 18 19 4 0 100 5.758 24.692 
795 1000 18 19 4 0 100 3.843 24.698 
1000 3500 18 19 4 0 100 5.280 20.992 
20 26 19 100 4 0 100 6.692 12.649 
26 32 19 100 4 0 100 3.999 16.339 
32 40 19 100 4 0 100 2.412 20.183 
40 51 19 100 4 0 100 7.372 14.611 
51 64 19 100 4 0 100 6.559 15.545 
64 80 19 100 4 0 100 6.211 16.627 
80 101 19 100 4 0 100 6.479 15.071 
101 127 19 100 4 0 100 6.409 16.809 
127 159 19 100 4 0 100 5.870 17.876 
159 200 19 100 4 0 100 7.186 18.365 
200 252 19 100 4 0 100 4.961 19.954 
252 317 19 100 4 0 100 5.734 20.737 
317 399 19 100 4 0 100 5.968 21.361 
399 502 19 100 4 0 100 5.191 22.669 
502 632 19 100 4 0 100 6.171 23.386 
632 795 19 100 4 0 100 4.659 24.612 
795 1000 19 100 4 0 100 6.520 26.421 
1000 3500 19 100 4 0 100 7.514 25.275 
[gluon]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nNeutral_gluon}
20 26 0 1 4 0 100 4.995 6.089 
26 32 0 1 4 0 100 5.522 7.095 
32 40 0 1 4 0 100 6.062 8.101 
40 51 0 1 4 0 100 6.231 9.407 
51 64 0 1 4 0 100 6.342 10.621 
64 80 0 1 4 0 100 6.439 11.961 
80 101 0 1 4 0 100 6.277 13.262 
101 127 0 1 4 0 100 6.079 14.385 
127 159 0 1 4 0 100 5.984 15.600 
159 200 0 1 4 0 100 5.751 16.499 
200 252 0 1 4 0 100 5.540 17.489 
252 317 0 1 4 0 100 5.512 18.667 
317 399 0 1 4 0 100 5.573 19.147 
399 502 0 1 4 0 100 5.322 19.758 
502 632 0 1 4 0 100 5.871 20.021 
632 795 0 1 4 0 100 5.824 20.396 
795 1000 0 1 4 0 100 6.244 20.543 
1000 3500 0 1 4 0 100 6.857 21.464 
20 26 1 2 4 0 100 5.298 6.442 
26 32 1 2 4 0 100 5.766 7.503 
32 40 1 2 4 0 100 6.299 8.559 
40 51 1 2 4 0 100 6.523 9.793 
51 64 1 2 4 0 100 6.694 11.068 
64 80 1 2 4 0 100 6.655 12.376 
80 101 1 2 4 0 100 6.585 13.624 
101 127 1 2 4 0 100 6.478 14.840 
127 159 1 2 4 0 100 6.232 16.008 
159 200 1 2 4 0 100 5.998 17.124 
200 252 1 2 4 0 100 5.684 17.999 
252 317 1 2 4 0 100 5.670 18.844 
317 399 1 2 4 0 100 5.620 19.645 
399 502 1 2 4 0 100 5.711 20.441 
502 632 1 2 4 0 100 5.709 20.765 
632 795 1 2 4 0 100 6.013 21.119 
795 1000 1 2 4 0 100 6.063 20.625 
1000 3500 1 2 4 0 100 7.112 20.444 
20 26 2 3 4 0 100 5.544 6.822 
26 32 2 3 4 0 100 6.095 7.864 
32 40 2 3 4 0 100 6.374 8.939 
40 51 2 3 4 0 100 6.734 10.187 
51 64 2 3 4 0 100 6.879 11.489 
64 80 2 3 4 0 100 6.907 12.739 
80 101 2 3 4 0 100 6.828 14.056 
101 127 2 3 4 0 100 6.566 15.262 
127 159 2 3 4 0 100 6.426 16.388 
159 200 2 3 4 0 100 6.186 17.520 
200 252 2 3 4 0 100 5.986 18.425 
252 317 2 3 4 0 100 5.794 19.275 
317 399 2 3 4 0 100 5.833 20.121 
399 502 2 3 4 0 100 5.880 20.693 
502 632 2 3 4 0 100 5.979 21.010 
632 795 2 3 4 0 100 6.111 21.481 
795 1000 2 3 4 0 100 6.407 21.486 
1000 3500 2 3 4 0 100 7.151 21.199 
20 26 3 4 4 0 100 5.856 7.223 
26 32 3 4 4 0 100 6.412 8.240 
32 40 3 4 4 0 100 6.705 9.319 
40 51 3 4 4 0 100 7.020 10.565 
51 64 3 4 4 0 100 7.040 11.843 
64 80 3 4 4 0 100 7.065 13.145 
80 101 3 4 4 0 100 7.006 14.378 
101 127 3 4 4 0 100 6.842 15.623 
127 159 3 4 4 0 100 6.587 16.741 
159 200 3 4 4 0 100 6.348 17.870 
200 252 3 4 4 0 100 6.057 18.865 
252 317 3 4 4 0 100 5.966 19.624 
317 399 3 4 4 0 100 5.901 20.433 
399 502 3 4 4 0 100 6.049 21.058 
502 632 3 4 4 0 100 6.196 21.349 
632 795 3 4 4 0 100 6.282 21.490 
795 1000 3 4 4 0 100 6.509 21.631 
1000 3500 3 4 4 0 100 7.985 21.936 
20 26 4 5 4 0 100 6.109 7.584 
26 32 4 5 4 0 100 6.572 8.623 
32 40 4 5 4 0 100 6.967 9.682 
40 51 4 5 4 0 100 7.230 10.918 
51 64 4 5 4 0 100 7.310 12.188 
64 80 4 5 4 0 100 7.331 13.473 
80 101 4 5 4 0 100 7.243 14.715 
101 127 4 5 4 0 100 6.922 15.945 
127 159 4 5 4 0 100 6.664 17.121 
159 200 4 5 4 0 100 6.571 18.162 
200 252 4 5 4 0 100 6.295 19.145 
252 317 4 5 4 0 100 6.067 19.996 
317 399 4 5 4 0 100 6.163 20.736 
399 502 4 5 4 0 100 6.185 21.244 
502 632 4 5 4 0 100 6.297 21.758 
632 795 4 5 4 0 100 6.491 21.993 
795 1000 4 5 4 0 100 6.843 21.961 
1000 3500 4 5 4 0 100 7.666 22.180 
20 26 5 6 4 0 100 6.296 7.961 
26 32 5 6 4 0 100 6.784 8.967 
32 40 5 6 4 0 100 7.152 10.036 
40 51 5 6 4 0 100 7.365 11.246 
51 64 5 6 4 0 100 7.402 12.548 
64 80 5 6 4 0 100 7.514 13.825 
80 101 5 6 4 0 100 7.294 15.083 
101 127 5 6 4 0 100 7.066 16.295 
127 159 5 6 4 0 100 6.845 17.432 
159 200 5 6 4 0 100 6.559 18.513 
200 252 5 6 4 0 100 6.508 19.445 
252 317 5 6 4 0 100 6.254 20.330 
317 399 5 6 4 0 100 6.198 21.027 
399 502 5 6 4 0 100 6.440 21.592 
502 632 5 6 4 0 100 6.434 22.014 
632 795 5 6 4 0 100 6.750 22.349 
795 1000 5 6 4 0 100 7.346 22.246 
1000 3500 5 6 4 0 100 7.762 22.396 
20 26 6 7 4 0 100 6.559 8.314 
26 32 6 7 4 0 100 7.106 9.365 
32 40 6 7 4 0 100 7.372 10.390 
40 51 6 7 4 0 100 7.538 11.610 
51 64 6 7 4 0 100 7.659 12.871 
64 80 6 7 4 0 100 7.663 14.133 
80 101 6 7 4 0 100 7.457 15.410 
101 127 6 7 4 0 100 7.251 16.576 
127 159 6 7 4 0 100 7.062 17.716 
159 200 6 7 4 0 100 6.796 18.792 
200 252 6 7 4 0 100 6.573 19.770 
252 317 6 7 4 0 100 6.435 20.625 
317 399 6 7 4 0 100 6.349 21.456 
399 502 6 7 4 0 100 6.316 22.001 
502 632 6 7 4 0 100 6.562 22.299 
632 795 6 7 4 0 100 6.852 22.393 
795 1000 6 7 4 0 100 7.291 22.387 
1000 3500 6 7 4 0 100 8.287 22.632 
20 26 7 8 4 0 100 6.745 8.698 
26 32 7 8 4 0 100 7.319 9.682 
32 40 7 8 4 0 100 7.534 10.728 
40 51 7 8 4 0 100 7.705 11.944 
51 64 7 8 4 0 100 7.874 13.220 
64 80 7 8 4 0 100 7.965 14.448 
80 101 7 8 4 0 100 7.553 15.699 
101 127 7 8 4 0 100 7.356 16.936 
127 159 7 8 4 0 100 7.224 18.047 
159 200 7 8 4 0 100 6.864 19.169 
200 252 7 8 4 0 100 6.714 20.056 
252 317 7 8 4 0 100 6.533 20.979 
317 399 7 8 4 0 100 6.525 21.596 
399 502 7 8 4 0 100 6.600 22.202 
502 632 7 8 4 0 100 6.646 22.543 
632 795 7 8 4 0 100 7.115 22.711 
795 1000 7 8 4 0 100 7.617 22.792 
1000 3500 7 8 4 0 100 7.589 22.588 
20 26 8 9 4 0 100 6.915 9.016 
26 32 8 9 4 0 100 7.509 10.034 
32 40 8 9 4 0 100 7.669 11.077 
40 51 8 9 4 0 100 7.937 12.251 
51 64 8 9 4 0 100 8.130 13.510 
64 80 8 9 4 0 100 7.990 14.784 
80 101 8 9 4 0 100 7.758 16.022 
101 127 8 9 4 0 100 7.540 17.230 
127 159 8 9 4 0 100 7.308 18.346 
159 200 8 9 4 0 100 7.106 19.401 
200 252 8 9 4 0 100 6.864 20.379 
252 317 8 9 4 0 100 6.749 21.276 
317 399 8 9 4 0 100 6.661 22.001 
399 502 8 9 4 0 100 6.616 22.445 
502 632 8 9 4 0 100 7.135 22.878 
632 795 8 9 4 0 100 7.350 22.870 
795 1000 8 9 4 0 100 8.483 23.011 
1000 3500 8 9 4 0 100 8.542 22.977 
20 26 9 10 4 0 100 7.188 9.371 
26 32 9 10 4 0 100 7.692 10.359 
32 40 9 10 4 0 100 8.065 11.392 
40 51 9 10 4 0 100 8.015 12.519 
51 64 9 10 4 0 100 8.219 13.866 
64 80 9 10 4 0 100 8.112 15.088 
80 101 9 10 4 0 100 7.947 16.296 
101 127 9 10 4 0 100 7.675 17.530 
127 159 9 10 4 0 100 7.417 18.634 
159 200 9 10 4 0 100 7.261 19.791 
200 252 9 10 4 0 100 6.918 20.716 
252 317 9 10 4 0 100 6.972 21.472 
317 399 9 10 4 0 100 6.820 22.293 
399 502 9 10 4 0 100 6.940 22.770 
502 632 9 10 4 0 100 6.994 23.200 
632 795 9 10 4 0 100 7.459 23.016 
795 1000 9 10 4 0 100 7.970 23.247 
1000 3500 9 10 4 0 100 8.625 22.460 
20 26 10 11 4 0 100 7.256 9.701 
26 32 10 11 4 0 100 7.637 10.656 
32 40 10 11 4 0 100 8.061 11.660 
40 51 10 11 4 0 100 8.371 12.921 
51 64 10 11 4 0 100 8.245 14.177 
64 80 10 11 4 0 100 8.197 15.445 
80 101 10 11 4 0 100 8.358 16.631 
101 127 10 11 4 0 100 7.886 17.815 
127 159 10 11 4 0 100 7.485 18.919 
159 200 10 11 4 0 100 7.358 20.033 
200 252 10 11 4 0 100 7.115 21.002 
252 317 10 11 4 0 100 7.069 21.911 
317 399 10 11 4 0 100 6.789 22.540 
399 502 10 11 4 0 100 6.973 23.042 
502 632 10 11 4 0 100 7.398 23.548 
632 795 10 11 4 0 100 7.605 23.420 
795 1000 10 11 4 0 100 8.254 23.510 
1000 3500 10 11 4 0 100 9.022 23.769 
20 26 11 12 4 0 100 7.354 10.115 
26 32 11 12 4 0 100 8.262 10.965 
32 40 11 12 4 0 100 8.396 12.010 
40 51 11 12 4 0 100 8.410 13.177 
51 64 11 12 4 0 100 8.442 14.507 
64 80 11 12 4 0 100 8.373 15.714 
80 101 11 12 4 0 100 8.315 16.927 
101 127 11 12 4 0 100 8.110 18.119 
127 159 11 12 4 0 100 7.652 19.265 
159 200 11 12 4 0 100 7.466 20.389 
200 252 11 12 4 0 100 7.191 21.338 
252 317 11 12 4 0 100 7.006 22.117 
317 399 11 12 4 0 100 7.115 22.864 
399 502 11 12 4 0 100 7.287 23.308 
502 632 11 12 4 0 100 7.170 23.843 
632 795 11 12 4 0 100 7.674 23.787 
795 1000 11 12 4 0 100 8.098 24.034 
1000 3500 11 12 4 0 100 8.474 23.953 
20 26 12 13 4 0 100 7.645 10.241 
26 32 12 13 4 0 100 7.965 11.284 
32 40 12 13 4 0 100 8.492 12.325 
40 51 12 13 4 0 100 8.271 13.450 
51 64 12 13 4 0 100 8.492 14.797 
64 80 12 13 4 0 100 8.599 16.049 
80 101 12 13 4 0 100 8.389 17.217 
101 127 12 13 4 0 100 8.067 18.408 
127 159 12 13 4 0 100 7.820 19.578 
159 200 12 13 4 0 100 7.488 20.689 
200 252 12 13 4 0 100 7.424 21.650 
252 317 12 13 4 0 100 7.313 22.382 
317 399 12 13 4 0 100 7.263 23.016 
399 502 12 13 4 0 100 7.226 23.512 
